"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"127",1,1,1,1,1,1,1,1,1,1,1
"128",1,1,1,1,1,1,1,1,1,1,1
"129",1,1,1,1,1,1,1,1,1,1,1
"130",10,10,10,10,10,10,10,10,10,10,10
"131",18,18,18,18,18,18,18,18,18,18,18
"132",1,1,1,1,1,1,1,1,1,1,1
"133",29,29,29,29,29,29,29,29,29,29,29
"134",12,12,12,12,12,12,12,12,12,12,12
"135",1,1,1,1,1,1,1,1,1,1,1
"136",1,1,1,1,1,1,1,1,1,1,1
"137",27,27,27,27,27,27,27,27,27,27,27
"138",20,20,20,20,20,20,20,20,20,20,20
"139",37,37,37,37,37,37,37,37,37,37,37
"140",5,5,5,5,5,5,5,5,5,5,5
"141",1,1,1,1,1,1,1,1,1,1,1
"142",28,28,28,28,28,28,28,28,28,28,28
"143",3,3,3,3,3,3,3,3,3,3,3
"144",14,14,14,14,14,14,14,14,14,14,14
"145",1,1,1,1,1,1,1,1,1,1,1
"146",9,9,9,9,9,9,9,9,9,9,9
"147",2,2,2,2,2,2,2,2,2,2,2
"148",29,29,29,29,29,29,29,29,29,29,29
"149",1,1,1,1,1,1,1,1,1,1,1
"150",1,1,1,1,1,1,1,1,1,1,1
"151",1,1,1,1,1,1,1,1,1,1,1
"152",37,37,37,37,37,37,37,37,37,37,37
"153",1,1,1,1,1,1,1,1,1,1,1
"154",1,1,1,1,1,1,1,1,1,1,1
"155",1,1,1,1,1,1,1,1,1,1,1
"156",11,11,11,11,11,11,11,11,11,11,11
"157",1,1,1,1,1,1,1,1,1,1,1
"158",1,1,1,1,1,1,1,1,1,1,1
"159",1,1,1,1,1,1,1,1,1,1,1
"160",1,1,1,1,1,1,1,1,1,1,1
"161",1,1,1,1,1,1,1,1,1,1,1
"162",1,1,1,1,1,1,1,1,1,1,1
"163",1,1,1,1,1,1,1,1,1,1,1
"164",1,1,1,1,1,1,1,1,1,1,1
"165",1,1,1,1,1,1,1,1,1,1,1
"166",1,1,1,1,1,1,1,1,1,1,1
"167",1,1,1,1,1,1,1,1,1,1,1
"168",41,41,41,41,41,40,40,41,41,41,40
"169",28,28,28,28,28,28,28,28,28,28,28
"170",1,1,1,1,1,1,1,1,1,1,1
"171",14,14,14,14,14,14,14,14,14,14,14
"172",1,1,1,1,1,1,1,1,1,1,1
"173",1,1,1,1,1,1,1,1,1,1,1
"174",11,11,11,11,11,11,11,11,11,11,11
"175",1,1,1,1,1,1,1,1,1,1,1
"176",1,1,1,1,1,1,1,1,1,1,1
"177",1,1,1,1,1,1,1,1,1,1,1
"178",1,1,1,1,1,1,1,1,1,1,1
"179",18,18,18,18,18,18,16,18,18,18,18
"180",1,1,1,1,1,1,1,1,1,1,1
"181",1,1,1,1,1,1,1,1,1,1,1
"182",1,1,1,1,1,1,1,1,1,1,1
"183",1,1,1,1,1,1,1,1,1,1,1
"184",34,34,34,34,34,34,34,34,34,34,34
"185",24,24,24,24,24,24,24,24,24,24,24
"186",41,41,41,41,41,41,41,41,41,41,41
"187",1,1,1,1,1,1,1,1,1,1,1
"188",16,16,16,16,16,16,16,16,16,16,16
"189",1,1,1,1,1,1,1,1,1,1,1
"190",10,10,10,10,10,10,10,10,10,10,10
"191",32,32,32,32,32,32,32,32,32,32,32
"192",1,1,1,1,1,1,1,1,1,1,1
"193",16,16,16,16,16,16,16,16,16,16,16
"194",1,1,1,1,1,1,1,1,1,1,1
"195",3,3,3,3,3,3,3,3,3,3,3
"196",1,1,1,1,1,1,1,1,1,1,1
"197",4,4,4,4,4,4,4,4,4,4,4
"198",5,5,5,5,5,5,5,5,5,5,5
"199",1,1,1,1,1,1,1,1,1,1,1
"200",33,33,33,33,33,33,33,33,33,33,33
"201",27,27,27,27,27,27,27,27,27,27,27
"202",16,16,16,16,16,16,16,16,16,16,16
"203",1,1,1,1,1,1,1,1,1,1,1
"204",1,1,1,1,1,1,1,1,1,1,1
"205",9,10,10,10,10,10,2,9,9,10,2
"206",14,14,14,14,14,14,14,14,14,14,14
"207",6,6,6,6,6,6,6,6,6,6,6
"208",15,15,15,15,15,15,15,15,15,15,15
"209",1,1,1,1,1,1,1,1,1,1,1
"210",1,1,1,1,1,1,1,1,1,1,1
"211",21,21,21,21,21,21,21,21,21,21,21
"212",22,22,22,22,22,22,22,22,22,22,22
"213",1,1,1,1,1,1,1,1,1,1,1
"214",10,10,10,10,10,10,10,10,10,10,10
"215",1,1,1,1,1,1,1,1,1,1,1
"216",1,1,1,1,1,1,1,1,1,1,1
"217",24,24,24,24,24,24,24,24,24,24,24
"218",38,38,38,38,38,38,38,38,38,38,38
"219",1,1,1,1,1,1,1,1,1,1,1
"220",4,4,4,4,4,4,4,4,4,4,4
"221",1,1,1,1,1,1,1,1,1,1,1
"222",17,17,17,17,17,17,17,17,17,17,17
"223",1,1,1,1,1,1,1,1,1,1,1
"224",17,17,17,17,17,17,17,17,17,17,17
"225",44,44,44,44,44,44,44,44,44,44,44
"226",5,5,5,5,5,5,5,5,5,5,5
"227",15,15,15,15,15,15,15,15,15,15,15
"228",10,10,10,10,10,10,10,10,10,10,10
"229",24,24,24,24,24,24,24,24,24,24,24
"230",1,1,1,1,1,1,1,1,1,1,1
"231",34,34,34,34,34,34,34,34,34,34,34
"232",14,14,14,14,14,4,14,14,14,14,14
"233",22,22,22,22,22,23,23,22,22,22,23
"234",7,7,7,7,7,7,7,7,7,7,7
"235",1,1,1,1,1,1,1,1,1,1,1
"236",23,23,23,22,23,23,23,23,23,23,23
"237",1,1,1,1,1,1,1,1,1,1,1
"238",1,1,1,1,1,1,1,1,1,1,1
"239",1,1,1,1,1,1,1,1,1,1,1
"240",48,48,48,48,48,47,47,48,48,48,47
"241",38,38,38,37,38,33,33,38,38,38,33
"242",12,12,12,12,12,12,12,12,12,12,12
"243",9,9,9,9,9,9,9,9,9,9,9
"244",1,1,1,1,1,1,1,1,1,1,1
"245",37,37,37,37,37,37,37,37,37,37,37
"246",4,4,4,4,4,4,4,4,4,4,4
"247",1,1,1,1,1,1,1,1,1,1,1
"248",1,1,1,1,1,1,1,1,1,1,1
