"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha[1,15]",-0.288714979956301,0.0160536531446285,0.95332913393645,-2.19207399069298,-0.906536409004816,-0.278554075126344,0.333824438110584,1.6005511632344,3526.45202522954,0.999471465070719
"alpha[1,16]",0.0490476370987279,0.0163893522422655,0.962810645088776,-1.93188879938563,-0.582473327299639,0.0727241862159753,0.716698069320045,1.93119928843488,3451.10512066035,0.999505015485592
"alpha[1,17]",0.184346470676858,0.0145606262633956,0.668324783593563,-1.27764103507405,-0.210767832911569,0.230234768854364,0.655279077638664,1.32028299447239,2106.75980313943,1.00196810678283
"alpha[1,18]",0.0834216348283082,0.0151189862518538,0.978969474821801,-1.85940133565546,-0.572755871095186,0.109248585441772,0.733118704239307,1.97461784452757,4192.69196697787,1.00004794449279
"alpha[1,19]",-0.53134025584977,0.0150882957513948,0.806941599989632,-2.20183456443086,-1.07962367471147,-0.485398162199057,0.0344894179054875,0.938067633846855,2860.24894225545,1.00092201359812
"alpha[1,20]",-0.172551605192009,0.0129249755518876,0.886951087937054,-2.01597206140053,-0.761039270137738,-0.164696726086819,0.444890354571812,1.48917871665477,4709.1213389424,0.999576412677879
"alpha[1,21]",0.619633427114755,0.015325274022826,0.795012513365115,-1.02602083654152,0.102274754321375,0.652352825762894,1.14426733704352,2.16136550862294,2691.10988554083,1.00004452565105
"alpha[1,22]",0.0517286908636059,0.0160809565451262,0.941631807251898,-1.83586990495369,-0.59489283543743,0.0905649703901808,0.709804179139396,1.79229483818098,3428.77102265653,1.00016510714774
"alpha[1,23]",0.045920719531757,0.0144705316494755,0.940905742492118,-1.84290796405653,-0.560556182376789,0.0616452666244442,0.677260989222693,1.8929304394759,4227.88594889865,0.999404733588457
"alpha[1,24]",0.0597597765791952,0.0148188377608029,0.965706564694231,-1.8143561067028,-0.598521181332385,0.0893405040967571,0.721182946895853,1.94888173822648,4246.80265973586,1.00016979204291
"alpha[1,25]",0.0735263411524192,0.0154772340133129,0.954552684407967,-1.81204325297118,-0.564849675986587,0.071705582643733,0.732709910681764,1.89980897096648,3803.76001124745,1.00034712517771
"alpha[1,26]",-0.173998096488185,0.0142008101641682,0.874865052227633,-1.95178563943676,-0.751767120624258,-0.140118714532499,0.424957858226075,1.43984190072347,3795.38549084879,1.00010220386042
"alpha[1,27]",-0.61696660682581,0.0169021291925378,0.820215140267701,-2.28554914507842,-1.1503602870616,-0.574941261857959,-0.0391072743355637,0.871071036761157,2354.90140802856,0.999304571285362
"alpha[1,28]",-0.299802520701117,0.0163782799853882,0.978940806206041,-2.23605172987958,-0.952017694566474,-0.289508546864131,0.380498526030147,1.55677303425066,3572.53326983435,0.999237570188277
"alpha[1,29]",-0.160756512113817,0.0142872331305649,0.821951051991369,-1.86972831592603,-0.693293480431866,-0.133592970707883,0.412042352224453,1.34863708483806,3309.75348846299,1.00116988259789
"alpha[1,30]",0.912123015591305,0.0183482592649814,0.740909882243384,-0.667764338191894,0.446167767714236,0.958358726505308,1.40418344922461,2.2895405821282,1630.57597270913,0.999830024123076
"alpha[1,31]",1.1962270085975,0.0244561899813619,0.756486967304074,-0.46169830765207,0.768675939059916,1.23450622851017,1.68378472004516,2.60235184119883,956.809110710393,1.00055413456043
"alpha[1,32]",-0.570486349247611,0.0161253873259451,0.802471194847471,-2.21848717860813,-1.08250258762811,-0.576667843228208,-0.0348109433280604,0.971349307497093,2476.50149317018,0.999561086780575
"alpha[1,33]",0.0748184940534089,0.0146899730040471,0.954129303782733,-1.84130867613298,-0.567420117339564,0.08876653282501,0.72506952712438,1.85754662210606,4218.64006954089,0.99927872308326
"alpha[1,34]",-0.0859395404560124,0.0164271261024582,0.904207597773672,-1.9429307798558,-0.689890756998807,-0.0553864841434076,0.531832723308739,1.61077439422069,3029.79414434323,0.999658783018172
"alpha[1,35]",-0.519447477500652,0.0127631151456925,0.807812153908717,-2.16114014109928,-1.0344400048757,-0.480882975417911,0.0403580687573043,0.964029342551658,4005.96722142232,1.00003594756287
"alpha[1,36]",0.187475534671692,0.0136143968001987,0.662718594749913,-1.24959569846006,-0.232018338072045,0.239411821149153,0.6470070132567,1.37400828714393,2369.52614042369,0.999280788658244
"alpha[1,37]",0.0535566508496575,0.0148781996985991,0.963606436988446,-1.83160026096676,-0.585216649347406,0.0739245494829593,0.719622048776772,1.90594904902417,4194.67789782805,0.999399549901485
"alpha[1,38]",-0.653929073919978,0.0181691587918934,0.846488333784617,-2.33013706286295,-1.2228723278522,-0.623926384454857,-0.0662780161397373,0.922097892277623,2170.56258771771,1.00140326390213
"alpha[1,39]",-0.180104384868931,0.0135635800987463,0.85485508060652,-1.92622544561396,-0.74995087800331,-0.153270719784752,0.422755900147164,1.40237301349781,3972.24769270193,1.00071123713697
"alpha[1,40]",0.60482872426953,0.0167884264908495,0.801978260389704,-1.0875966088032,0.0825792491679258,0.631997791920294,1.16047746802907,2.11279587320318,2281.94516824832,0.999995123712662
"alpha[1,41]",0.599166123633697,0.0167744953538132,0.797347867626592,-1.04332338630272,0.0802148128227627,0.64010232208823,1.13079940410702,2.08309200891106,2259.41884593057,0.999289640480433
"alpha[1,42]",-0.236241629610812,0.0170150257266319,0.90492899482151,-2.060422000809,-0.825680833063468,-0.188118494659778,0.398304705494717,1.47888212291749,2828.54952475665,1.00021180034376
"alpha[1,43]",-0.182168293813217,0.0140124750387861,0.863577570328332,-2.03524999810609,-0.725053943312991,-0.149703086523046,0.407608307089608,1.39941718499602,3798.15779712478,0.99967539306932
"alpha[1,44]",-0.173080494243616,0.0146022105863139,0.870192790868565,-1.90597589777273,-0.752596898972366,-0.149351517955169,0.408785690962195,1.49700562307454,3551.35222022582,0.999519938834618
"alpha[1,45]",1.18582876237236,0.0180695771159474,0.713778288685252,-0.39308546833492,0.792259217917866,1.22246029770858,1.62997382763111,2.4697320859004,1560.38113010829,0.999937811923589
"alpha[1,46]",-0.171447738260424,0.0138723241548787,0.892222758778648,-1.97329444868029,-0.747594518460808,-0.143442154961594,0.450674450125411,1.50481126136351,4136.64390578472,1.0003880784552
"alpha[1,47]",-0.164498840153853,0.0133757180275335,0.898668787537439,-1.98482893047891,-0.777392204841726,-0.155608977567086,0.464434069329768,1.54356673735239,4514.03691608787,0.999771585218302
"alpha[1,48]",-0.00738669165490749,0.0150248904086477,0.940895011902371,-1.95702116177981,-0.618258272455389,0.0214803867696559,0.634917638740623,1.75388225385083,3921.56760567582,0.999275889035982
"alpha[1,49]",-0.158989344277097,0.0137665284304093,0.859074741567746,-1.87144208689243,-0.713191896857518,-0.118531263090279,0.42115865067825,1.46123931553842,3894.15315662755,1.00006243159822
"alpha[1,50]",-0.160716606933241,0.0134062662001792,0.866124499569317,-1.97379163410194,-0.712293813856137,-0.106443485228853,0.43143654398204,1.42207499962588,4173.92815618709,0.999308794835125
"alpha[1,51]",-0.168123619113823,0.0138602833745086,0.856015709302564,-1.92467721703916,-0.712307306827562,-0.139139528479935,0.404313918901251,1.4553076271758,3814.33866648857,0.999811902310472
"alpha[1,52]",-0.314181065975287,0.0163184710009886,0.96202050791975,-2.22923037864314,-0.946485395030729,-0.282802640912066,0.33668570953702,1.57783496364612,3475.43949686867,0.999588972866001
"alpha[1,53]",-0.462159786389071,0.0156176608861404,0.809633404542827,-2.13943421861919,-0.990416607639388,-0.432575897444357,0.0765500379954413,1.01748189898701,2687.4776402309,1.00190717988019
"alpha[1,54]",-0.495195474165666,0.0142092078283933,0.812118141453348,-2.14809242795585,-1.03082616022303,-0.467211948477202,0.0532943342171074,1.02602273358044,3266.62056062373,1.0004959269129
"alpha[1,55]",-0.174035803093048,0.0137806405713414,0.906146892197337,-2.00597480537595,-0.773642575851416,-0.141118859209346,0.443708200576853,1.47850821288776,4323.72834113404,0.999672811096426
"alpha[1,56]",0.0675084996161778,0.0154790938585031,0.960107146813957,-1.82917054808997,-0.571072722870688,0.0912475504643735,0.708922350499928,1.94765657227328,3847.23165751381,0.999642271196231
"alpha[1,57]",-5.36111679380068e-05,0.0157970475567353,0.924865172353284,-1.86667005807611,-0.596081376877205,0.0158025254350855,0.631056129562602,1.72341553668936,3427.71732737749,0.999720948508739
"alpha[1,58]",0.614914544845039,0.0189091454213278,0.795724581626413,-1.08591573855247,0.11117729313807,0.656764457634383,1.14027130359394,2.15008760194582,1770.84987635813,1.00049322859414
"alpha[1,59]",0.00299166635088358,0.0148643384206581,0.905788913248357,-1.79699678202945,-0.605302459764927,0.0208869735651095,0.635490998015161,1.69630348071681,3713.32389619361,0.999613527026544
"alpha[1,60]",-0.483494375332819,0.0132892243466179,0.797528935729972,-2.10257019630901,-1.0078601335053,-0.445948017034157,0.0528083533370674,0.984780636038287,3601.58469060517,1.00009454044563
"alpha[1,61]",-0.295119627189038,0.0155240189990898,0.980574409232991,-2.29496823089865,-0.91982271860782,-0.263775759644523,0.37230639473386,1.57250487185574,3989.81518369977,0.999665930023479
"alpha[1,62]",-0.194055019231903,0.0144824127781462,0.922718548549009,-2.04929052761551,-0.786826247413639,-0.165020719646075,0.43576874100216,1.52444310216274,4059.35150051892,0.999147940151857
"alpha[1,63]",0.0720134229184187,0.0151745250709014,0.948357973872288,-1.79376282624863,-0.574889895467117,0.0710383226926046,0.712571067791478,1.94596439443022,3905.83942908361,0.999288954555333
"alpha[1,64]",1.18173158446572,0.0209331762368058,0.722816160035706,-0.430652166201144,0.786052010157771,1.2165800798513,1.62818070667918,2.47944888562569,1192.29973517451,1.00034396091239
"alpha[1,65]",0.073037277499737,0.0157855409125665,0.961010667658864,-1.84811293120411,-0.580593563979934,0.10915885316561,0.738091965076339,1.92239205426674,3706.27363994155,0.9996674998923
"alpha[1,66]",-0.610683092656288,0.0157478878059139,0.811448279578343,-2.235750760305,-1.13656660580749,-0.579855271893345,-0.0490740300236735,0.889296376363617,2655.07665107465,1.00027804240235
"alpha[1,67]",-0.470835867177281,0.0138824306320125,0.82598267267863,-2.14555020932664,-1.0296001746277,-0.436041677293604,0.125180624946915,1.0432928479686,3540.06184804226,1.00137617384791
"alpha[1,68]",0.051013010168098,0.0141883949568019,0.959589195738974,-1.87120055870214,-0.610407885372498,0.0681533144503301,0.721213631833329,1.81979776172098,4574.0842590993,0.999590037774519
"alpha[1,69]",-0.165224418462099,0.0130129988652198,0.861924068214586,-1.94479645689462,-0.711120711709594,-0.124291098001591,0.419466761764926,1.41693421051026,4387.15756361438,1.00000051014781
"alpha[1,70]",-0.470342475418871,0.0140255093133358,0.828108393638302,-2.19926150990949,-1.00338342275247,-0.435151824752384,0.0981323820833012,1.0488438832996,3486.07793069892,0.999493618549866
"alpha[1,71]",-0.476833604413929,0.0173986435834144,0.910323614992198,-2.26666999743531,-1.07566800381392,-0.461657527129608,0.139823156248236,1.28289107334064,2737.54227770322,0.999443591859902
"alpha[1,72]",1.18564880217917,0.0214743616116027,0.726980640073711,-0.340732596323886,0.749365338046585,1.20597946928254,1.65353350701696,2.59092135752592,1146.05422605654,1.00045091842423
"alpha[1,73]",-0.279456601531077,0.0151904183474635,0.853844370927049,-2.10721968039577,-0.805590898799775,-0.231028689586649,0.3096272374824,1.25321925746685,3159.49716542146,0.99912492440668
"alpha[1,74]",1.18406609472824,0.0211328530309172,0.743608267138187,-0.426645435743457,0.775379711761206,1.21173352901958,1.6372606268651,2.58388229482882,1238.14683949951,0.99986460491662
"alpha[1,75]",-0.184444402515943,0.0126375284319781,0.833603736332127,-1.83335117538533,-0.74874284989126,-0.154852819494417,0.37855371975961,1.411913601821,4351.05941451663,0.999575054102343
"alpha[1,76]",-0.166996244004359,0.016223590696152,0.845984296639782,-1.96669156396019,-0.718515723246574,-0.162928235608998,0.41711411210755,1.43182856275847,2719.134193738,1.0001882215442
"alpha[1,77]",-0.165266713737063,0.0143605114766378,0.875539517285849,-1.91345438991503,-0.756424327819001,-0.149872761876762,0.43673187507281,1.51544241351637,3717.16370952211,0.999327072022307
"alpha[1,78]",1.20338618554282,0.0250656257623268,0.774308408503709,-0.498846294390152,0.751400234204171,1.23907127949771,1.70613920423975,2.58785504015219,954.269071879627,1.00052814855198
"alpha[1,79]",-0.189275286964198,0.0155039122672536,0.868312882349851,-1.9654391969059,-0.767712053280781,-0.148073947784649,0.400464968717518,1.45720544708794,3136.67761286504,0.999411604829623
"alpha[1,80]",0.51221121773525,0.0179736516269536,0.808509034531801,-1.17065899110543,0.00392153337002801,0.541890150910498,1.05201738630069,2.02836561842132,2023.47160741531,0.999873147461998
"alpha[1,81]",0.0837444994901121,0.0140436304515545,0.953764107252461,-1.81296246871962,-0.531437505740144,0.10167323772701,0.723531158578185,1.89342900550668,4612.35964675875,0.999830053674958
"alpha[1,82]",-0.292255674977285,0.0167959691341924,0.961534266103694,-2.19220332685595,-0.9452153887166,-0.283830904218147,0.385595510847183,1.46767715390756,3277.32413155148,0.999615217971244
"alpha[1,83]",-0.588573442946298,0.0174102092033912,0.819833412448663,-2.32946485327075,-1.1131754421723,-0.552629116624696,-0.0131436362327413,0.898518104442779,2217.39594399985,0.999722644362198
"alpha[1,84]",-0.517542514963119,0.0142047455590437,0.778146749687085,-2.07605959382461,-1.04400482109504,-0.485968440147056,0.0260274056482471,0.966039989652684,3000.93160721961,1.00083177259534
"alpha[1,85]",0.0816052751048307,0.0156161836971182,0.971177761242479,-1.90799945045445,-0.545931111801894,0.0960444786662587,0.716273383013187,1.95419572583484,3867.6542204122,1.00121340595955
"alpha[1,86]",-0.128741195487925,0.0180729806697829,0.992945283431635,-2.16312949566294,-0.791444544129337,-0.108326445360302,0.546457993303329,1.73798200691852,3018.49920815541,1.00047393144073
"alpha[1,87]",-0.271640895141444,0.0135083432869079,0.845676697261221,-1.98171760856437,-0.836830613069314,-0.246284594684987,0.32692668777011,1.33705603301937,3919.26428376677,0.999772123887888
"alpha[1,88]",-0.519804343782356,0.0142966411406701,0.795264399355759,-2.21771058288068,-1.03220033825484,-0.478843102807401,0.0559714492372525,0.925595693534301,3094.24751253552,0.99950203027765
"alpha[1,89]",-0.162675259145291,0.0131783455553218,0.844694884773538,-1.91539592686049,-0.724544709035923,-0.12637041229805,0.43514865267714,1.38246125975503,4108.44943348684,1.00013971041876
"alpha[1,90]",0.0688218881535069,0.0157714315391853,0.983876282972441,-1.91895862309213,-0.58060776783517,0.0863900631557823,0.734859056970502,1.95923586363184,3891.69461333947,0.999410097563938
"alpha[1,91]",-0.16406835647488,0.0141630820482912,0.917893597186187,-2.04380860888842,-0.780352129214084,-0.125852730739176,0.468769416304301,1.59161146831107,4200.19195449532,0.999237648805172
"alpha[1,92]",0.597008779524154,0.0178855543711455,0.786791220972252,-1.00485076516499,0.10609233986469,0.629157714985159,1.09695150973183,2.09731563044508,1935.14806091426,1.00030539819021
"alpha[1,93]",-0.0227642263820987,0.0140363921397638,0.920582899458726,-1.8390596822432,-0.644973852429785,-0.00556681314446175,0.62388207118076,1.6954443077706,4301.44942563957,0.999996439438879
"alpha[1,94]",-0.40900168938982,0.0158328499808807,0.85804365647233,-2.15499874360853,-0.969370649014941,-0.359265493804717,0.179779864227938,1.15963674031399,2936.97720826603,0.999410235201848
"alpha[1,95]",-0.472515613437005,0.0140973801299229,0.826615889284608,-2.17954198100935,-1.01563491275945,-0.437860252341665,0.126955829076531,1.00980553152481,3438.19636800196,1.00131373523753
"alpha[1,96]",0.90335135189624,0.0180491617811621,0.740710157409093,-0.738286487595099,0.483342493606857,0.952648662828388,1.37718736083964,2.23353764092334,1684.15680722376,0.999994483690863
"alpha[1,97]",0.0669562346691364,0.0139291577144417,0.940012792111389,-1.78838925501139,-0.557523178092082,0.0699198640501668,0.710716813839688,1.86392373085422,4554.25995071558,0.999172838966015
"alpha[1,98]",0.0726174123643049,0.0150662005547796,0.949423981884427,-1.88438733429784,-0.520102666896767,0.103644071217597,0.710901117525388,1.87962268989934,3971.11904611633,0.999881932945529
"alpha[1,99]",-0.182078242502988,0.0130601150423023,0.831043654961943,-1.87771229305634,-0.731277441036033,-0.158169003744419,0.371174649676057,1.3899032754057,4049.05495295423,0.999448161762419
"alpha[1,100]",-0.651254456844116,0.0191249555566676,0.847632952489846,-2.39561441763002,-1.20571362877478,-0.604441374284079,-0.0646731379724287,0.87781676582241,1964.33156183792,0.999963425032126
"alpha[1,101]",1.23874361346976,0.021468811409772,0.723960702568607,-0.323449173891879,0.824445498516197,1.29146421234914,1.7056761850792,2.61630270603657,1137.14012335532,1.0009729519512
"alpha[1,102]",0.0666763847707375,0.0159925101511733,0.953880297533186,-1.86394814301537,-0.571240148624967,0.114755265450257,0.723067652600236,1.88093561419071,3557.57845954993,0.999525106134826
"alpha[1,103]",0.902567864636789,0.0181870947543747,0.742791007086065,-0.656133198109343,0.46303260468717,0.952818300510953,1.37356492366036,2.23772847231999,1668.04059304829,1.00003545395593
"alpha[1,104]",-0.634984324275626,0.0165010397108124,0.818806692389534,-2.33299741567302,-1.17765149480829,-0.584496517518845,-0.0658529458782717,0.861072463683933,2462.29536955453,1.00016431231802
"alpha[1,105]",0.615821508362615,0.017932752766485,0.808725393133823,-1.04700494160432,0.0883372018213069,0.627293619795021,1.15825208486997,2.1493952049104,2033.79997361621,0.999445544395903
"alpha[1,106]",-0.28717321977988,0.0166692833858856,0.941744639192403,-2.08996955462579,-0.918428545652561,-0.298842226327097,0.358556283814191,1.58207776290592,3191.77635902925,0.999344568834622
"alpha[1,107]",-0.174671884773477,0.0142515180097488,0.895296676682938,-1.95271528882354,-0.782341013223178,-0.154860528189607,0.44702487430617,1.53016781556412,3946.49623550511,0.999443237170793
"alpha[1,108]",-0.437926718423306,0.0156454233195612,0.903656157013834,-2.23445376203453,-1.04384214255551,-0.425615604683272,0.200398258117169,1.29280613133244,3336.04413183825,0.999811992374033
"alpha[1,109]",-0.278959303848935,0.0150809380587259,0.980099454121501,-2.25706660922659,-0.926311553808609,-0.239667966674191,0.363198597988963,1.56396216872388,4223.60779014867,0.999391184475234
"alpha[1,110]",-0.464474612633813,0.01660198096252,0.869817097276332,-2.21729761063474,-1.03937197655286,-0.421479131837358,0.139869695756347,1.1276927956367,2744.96023196248,1.00040147840914
"alpha[1,111]",-0.171044614011833,0.0138602974939782,0.865030917894765,-1.93986567572158,-0.736160161673878,-0.132749342551603,0.412048527337354,1.45173400484948,3895.09591655486,0.999713272468363
"alpha[1,112]",-0.506261112582176,0.0139308300110812,0.802533879910843,-2.18270650369755,-1.02825824181854,-0.443396109266718,0.0611854889681605,0.940628333272949,3318.73645375803,1.00146708357494
"alpha[1,113]",1.92314532459493,0.0267919912836054,0.667560422118199,0.526487754348763,1.56589482604421,1.93285418790747,2.32892369578818,3.16734013048025,620.827826884009,1.00393823143968
"alpha[1,114]",-0.516886244094349,0.0145311206660113,0.807817826270488,-2.15691299037066,-1.04849493317889,-0.494693807169774,0.0519065283135882,0.959145998719174,3090.49928096381,0.999773745730473
"alpha[1,115]",-0.462454540911042,0.0177999904616372,0.92680508994231,-2.30009357778753,-1.06910899226646,-0.453579044699515,0.161374203086167,1.32109580083546,2711.04846396237,0.999354835184725
"alpha[1,116]",-0.613732601438792,0.0172579828332651,0.820698502976294,-2.32756614750436,-1.14265970164992,-0.588122390760391,-0.0459893570986666,0.892018211950262,2261.45118251979,0.9997009411367
"alpha[1,117]",-0.299908587703197,0.0143324555695776,0.900300188795182,-2.09125405949228,-0.901768791611202,-0.276666891583239,0.343697840960909,1.37150195883743,3945.78551474261,0.99942138679854
"alpha[1,118]",-0.19072770193759,0.0130994124302921,0.878844739717477,-1.96279399751541,-0.767543467667946,-0.184241605378773,0.410983728971017,1.48980807905116,4501.12095274162,0.999083715792305
"alpha[1,119]",-0.468760087536212,0.014074855391201,0.796902095859455,-2.10452509988803,-1.0060683864406,-0.421672947887123,0.0750433631306996,1.01282617253103,3205.69393149372,0.999350636715073
"alpha[1,120]",0.0648217335820877,0.0165837142615337,0.962292202357004,-1.85493929588732,-0.58570284969296,0.0735648493193435,0.715264773025704,1.98767008471224,3367.05585495648,0.999162416639267
"alpha[2,1]",-0.0601938773657257,0.0143782072194887,0.944124765665136,-1.93616819572599,-0.691134923285468,-0.037050385297423,0.570520291106303,1.80763778312329,4311.7076167905,1.00070016208518
"alpha[2,2]",0.215666893444655,0.023597837882815,1.02827391294614,-1.83062757914543,-0.472405919408211,0.255901333044964,0.901751413760259,2.14701444382829,1898.77370851229,1.00029204914267
"alpha[2,3]",-0.0179220399385089,0.0232927342807217,0.982777019554281,-1.92149121032389,-0.685049072985697,-0.0297062614928292,0.642834565562331,1.8982959501588,1780.20100043087,1.00132878042364
"alpha[2,4]",-0.0242872452828126,0.0190326348317954,0.985795916795755,-1.92379232119562,-0.708065242130665,-0.00424823185815281,0.645340548309725,1.87929896975441,2682.72526715812,1.0006375112972
"alpha[2,5]",-0.0157946801696688,0.0222440402666383,0.967736797676064,-1.88312789573357,-0.673307322381111,-0.0139361451100142,0.649177031994482,1.82241561895546,1892.72346018524,1.00043201031089
"alpha[2,6]",-0.133140549150527,0.0151941311561856,0.92843682822758,-1.98493219988066,-0.753039533630141,-0.143131243912263,0.488674851165253,1.62656681479835,3733.81655238927,0.999442893926934
"alpha[2,7]",-0.0760685757247384,0.0151216512478657,0.960494828630715,-2.00666533233157,-0.7016341346936,-0.0698477540998838,0.553293935112274,1.80843442799346,4034.51771316925,0.999439067325077
"alpha[2,8]",-0.0125885832453868,0.0196584384243424,0.985278212068142,-1.93145367386474,-0.676426252205567,-0.00511676496163127,0.674771801581528,1.90521057876024,2512.0005215408,0.999980948671834
"alpha[2,9]",0.29034818804331,0.0304672530166852,1.0731564764278,-1.84735960288713,-0.419923189640906,0.289254552751977,1.00484253402067,2.35772216002629,1240.67920560496,1.00174526548304
