"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"138",9,9,9,9,9,9,9,9,9,9
"139",9,9,9,9,9,9,9,9,9,9
"140",1,1,1,1,1,1,1,1,1,1
"141",1,1,1,1,1,1,1,1,1,1
"142",27,27,27,27,27,27,27,27,27,27
"143",1,1,1,1,1,1,1,1,1,1
"144",1,1,1,1,1,1,1,1,1,1
"145",1,1,1,1,1,1,1,1,1,1
"146",15,15,15,15,15,15,15,15,15,15
"147",1,1,1,1,1,1,1,1,1,1
"148",1,1,1,1,1,1,1,1,1,1
"149",1,1,1,1,1,1,1,1,1,1
"150",1,1,1,1,1,1,1,1,1,1
"151",1,1,1,1,1,1,1,1,1,1
"152",1,1,1,1,1,1,1,1,1,1
"153",1,1,1,1,1,1,1,1,1,1
"154",1,1,1,1,1,1,1,1,1,1
"155",3,3,3,3,3,3,3,3,3,3
"156",11,11,11,11,11,11,11,11,11,11
"157",1,1,1,1,1,1,1,1,1,1
"158",1,1,1,1,1,1,1,1,1,1
"159",1,1,1,1,1,1,1,1,1,1
"160",1,1,1,1,1,1,1,1,1,1
"161",1,1,1,1,1,1,1,1,1,1
"162",1,1,1,1,1,1,1,1,1,1
"163",12,12,12,12,12,12,12,12,12,12
"164",1,1,1,1,1,1,1,1,1,1
"165",1,1,1,1,1,1,1,1,1,1
"166",1,1,1,1,1,1,1,1,1,1
"167",1,1,1,1,1,1,1,1,1,1
"168",4,4,4,4,4,4,4,4,4,4
"169",62,62,62,62,62,62,62,62,62,62
"170",1,1,1,1,1,1,1,1,1,1
"171",1,1,1,1,1,1,1,1,1,1
"172",4,4,4,4,4,4,4,4,4,4
"173",1,1,1,1,1,1,1,1,1,1
"174",20,20,20,20,20,20,20,20,20,20
"175",1,1,1,1,1,1,1,1,1,1
"176",1,1,1,1,1,1,1,1,1,1
"177",1,1,1,1,1,1,1,1,1,1
"178",1,1,1,1,1,1,1,1,1,1
"179",1,1,1,1,1,1,1,1,1,1
"180",1,1,1,1,1,1,1,1,1,1
"181",1,1,1,1,1,1,1,1,1,1
"182",1,1,1,1,1,1,1,1,1,1
"183",1,1,1,1,1,1,1,1,1,1
"184",1,1,1,1,1,1,1,1,1,1
"185",1,1,1,1,1,1,1,1,1,1
"186",1,1,1,1,1,1,1,1,1,1
"187",1,1,1,1,1,1,1,1,1,1
"188",8,8,8,8,8,8,8,8,8,8
"189",1,1,1,1,1,1,1,1,1,1
"190",7,7,7,7,7,7,7,7,7,7
"191",1,1,1,1,1,1,1,1,1,1
"192",1,1,1,1,1,1,1,1,1,1
"193",1,1,1,1,1,1,1,1,1,1
"194",1,1,1,1,1,1,1,1,1,1
"195",3,3,3,3,3,3,3,3,3,3
"196",1,1,1,1,1,1,1,1,1,1
"197",11,11,11,11,11,11,11,11,11,11
"198",28,28,28,28,28,28,28,28,28,28
"199",1,1,1,1,1,1,1,1,1,1
"200",6,6,6,6,6,6,6,6,6,6
"201",4,4,4,4,4,4,4,4,4,4
"202",1,1,1,1,1,1,1,1,1,1
"203",1,1,1,1,1,1,1,1,1,1
"204",1,1,1,1,1,1,1,1,1,1
"205",10,1,1,1,1,1,10,10,10,10
"206",36,36,35,35,36,36,36,36,36,36
"207",16,16,16,16,16,16,16,16,16,16
"208",39,39,39,39,39,39,39,39,39,39
"209",1,1,1,1,1,1,1,1,1,1
"210",1,1,1,1,1,1,1,1,1,1
"211",1,1,1,1,1,1,1,1,1,1
"212",1,1,1,1,1,1,1,1,1,1
"213",1,1,1,1,1,1,1,1,1,1
"214",19,19,19,19,19,19,19,19,19,19
"215",1,1,1,1,1,1,1,1,1,1
"216",1,1,1,1,1,1,1,1,1,1
"217",1,1,1,1,1,1,1,1,1,1
"218",1,1,1,1,1,1,1,1,1,1
"219",1,1,1,1,1,1,1,1,1,1
"220",16,16,16,16,16,16,16,16,16,16
"221",1,1,1,1,1,1,1,1,1,1
"222",1,1,1,1,1,1,1,1,1,1
"223",1,1,1,1,1,1,1,1,1,1
"224",1,1,1,1,1,1,1,1,1,1
"225",1,1,1,1,1,1,1,1,1,1
"226",13,13,13,13,13,13,13,13,13,13
"227",4,4,4,4,4,4,4,4,4,4
"228",4,4,4,4,4,4,4,4,4,4
"229",1,1,1,1,1,1,1,1,1,1
"230",1,1,1,1,1,1,1,1,1,1
"231",16,15,16,16,16,16,16,16,16,16
"232",2,2,2,2,4,2,2,2,2,2
"233",9,9,9,9,9,9,9,9,9,9
"234",6,4,4,4,6,6,6,6,6,6
"235",13,14,14,14,14,14,13,13,13,14
"236",20,20,20,20,17,17,20,20,20,17
"237",7,6,6,6,7,7,7,7,7,7
"238",1,1,1,1,1,1,1,1,1,1
"239",1,1,1,1,1,1,1,1,1,1
"240",1,1,1,1,1,1,1,1,1,1
"241",27,27,27,27,27,27,27,27,27,27
"242",19,20,20,20,20,20,19,19,19,20
"243",3,3,3,3,3,3,3,3,3,3
"244",1,1,1,1,1,1,1,1,1,1
"245",24,24,24,24,24,24,24,24,24,24
"246",28,28,28,28,28,28,28,28,28,28
"247",1,1,1,1,1,1,1,1,1,1
"248",1,1,1,1,1,1,1,1,1,1
"249",1,1,1,1,1,1,1,1,1,1
"250",6,6,6,6,6,6,6,6,6,6
"251",20,20,20,20,21,21,20,20,20,21
"252",1,1,1,1,1,1,1,1,1,1
"253",8,8,8,8,8,8,8,8,8,8
"254",9,9,9,9,9,9,9,9,9,9
"255",9,9,9,9,9,9,9,9,9,9
"256",1,1,1,1,1,1,1,1,1,1
"257",20,20,20,20,21,21,20,20,20,21
"258",1,1,1,1,1,1,1,1,1,1
